label,comment,nonsw
2.0,yêu là chết trong lòng nên đa số buồn hơn vui,yêu chết đa buồn vui
2.0,người bà luôn bên tôi giờ chỉ còn trong ký ức,ký ức
2.0,tuy đáng sợ nhưng mà gia đình chị rất thương chị,sợ gia đình thương
2.0,còn bao điều muốn nói mà không còn cơ hội,bao
2.0,tôi đang khóc,khóc
2.0,rat cam on,rat cam on
2.0,đ,đ
2.0,tôi cũng t làm ăn thất bại tháng vừa qua haizzzz lại cờ bạc đã nợ lại càng nợ thêm bạn bè đứa thì treo cổ đứa thì lừa đảo tôi vợ thì giận zu la mắng đe dọa li dị lật xe máy cày may không ai bị sao ca giờ con lại bị tai nạn cũng may cũng đỡ dần tôi càng ngày bị trầm cảm không biết khi nào tôi thoát khỏi cái tâm lý nghĩ quẩn như bây giờ đây cũng đang cố tự động viên an ủi chính mình haizzzzzz,t thất bại haizzzz cờ bạc nợ nợ bè đứa treo cổ đứa lừa đảo vợ giận zu la mắng đe dọa li dị lật xe máy cày may sao ca tai nạn may đỡ dần trầm cảm thoát tâm lý quẩn cố động viên an ủi haizzzzzz
2.0,lần khóc và lần này mình không khóc nx rồi chỉ hơi buồn thôi,khóc khóc nx hơi buồn
2.0,sống tằn tiện đến mức không dám ăn thịt trong cả tuần,sống tằn tiện dám thịt tuần
2.0,trum lên là ừ toang luôn,trum toang
2.0,tại sao lại có những người thích phán xét sở thích của người khác ạ nếu họ không thích có thể rời đi mà tại sao lại buông ra những lời cay nghiệt phán xét theo khía cạnh của họ em đã cố không quan tâm nhưng đã nghe rồi thì sao mà không tổn thương được chứ ạ em thích nghe podcast của vì sao thế nhỉ nhưng khi họ tình cờ biết được em nghe podcast người đó lại cho rằng nó thật nhảm nhỉ không cần thiết em em còn không biết chửi thề không biết phải làm sao để mất đi sự đau khổ này,thích phán xét sở thích thích rời đi buông cay nghiệt phán xét khía cạnh cố sao tổn thương thích podcast tình cờ podcast nhảm thiết chửi thề mất đi đau khổ
2.0,đi ngang tiệm đồ sơ sinh mà thấy chạnh lòng,đi ngang tiệm đồ sơ sinh chạnh
2.0,những tháng sống nhờ mì tôm là những tháng đáng nhớ nhất đời sinh viên,sống mì tôm đời sinh viên
2.0,tội nghiệp,tội nghiệp
2.0,đi giữa thành phố hoa lệ mà thấy tim mình hoang vu,đi thành phố hoa lệ tim hoang vu
2.0,đến trường là cái quần nó ước từ éo xuống gót chân lạnh lẽo ghê gớm mùi thì không phải bàn được cái mùa này hc trong lớp không cần mở quạt gió thỏi muốn gãy cửa cũng đã lắm,trường quần ước éo gót chân lạnh lẽo ghê gớm mùi bàn mùa hc lớp quạt gió thỏi gãy cửa lắm
2.0,chiến thuật không có thế mà làm hlv được lối đá bạc nhược rơi rạc thay người vô tội vạ không có nổi cú sút đá công lên không được không biết ai giới thiệu cho vpf mà hay thật từ khi thay hlv chưa một lần được ăn mừng đúng nghĩa quá buồn,chiến thuật hlv lối đá bạc nhược rơi rạc thay vô tội vạ nổi cú sút đá công giới thiệu vpf hay thay hlv chưa mừng nghĩa buồn
2.0,tớ rất có tâm lý dễ buồn suy nghĩ những thứ khó hiểu tớ không hiểu tại sao tâm lý tớ càng lệch lạc chẳng muốn tiếp xúc gì cả nó như kiều nhân bản thứ vậy ngoài mặt với mọi người thì hay tươi cười nhưng bên trong trầm lặng không có cảm xúc và có những thứ tự ti thái quá chẳng có gì là hoàn hảo tớ rất mệt mỏi với tâm lý của tớ tớ rất sợ họ kì thị tính của mình nó khiến suy nghĩ đủ điều,tâm lý buồn suy tâm lý lệch lạc chẳng tiếp xúc kiều nhân bản mặt hay tươi cười trầm lặng cảm xúc ti chẳng hoàn hảo mệt mỏi tâm lý sợ kì thị suy
2.0,tuổi cảm thấy thật chênh vênh,chênh vênh
2.0,bà mình có tuổi mà chưa kịp nhìn cháu đã bị xe ôtô tông chết lúc khuya rồi bây giờ mình tội lỗi với bà quá,chưa kịp cháu xe ôtô tông chết khuya tội lỗi
2.0,lời xin lỗi chưa kịp nói giờ mãi mãi không thể nói được nữa,lỗi chưa kịp mãi mãi
2.0,thật ra bài này được sáng tác trước khi cô gái mấtmn vẫn nghĩ rằng bài này cho người con gái đã khuất của ông,tác gái mấtmn gái khuất
2.0,em vừa tắm xong bh em mới xem được ạchúc à buổi tối vui vẻ nha,tắm xong bh ạchúc tối vui vẻ nha
2.0,tôi thấy mình thua kém mọi người,thua kém
2.0,đôi khi chỉ cần một tiếng gọi tên thân thuộc mà cũng không có,đôi tiếng gọi thân
2.0,quá mệt mỏi ở thời điểm hiện tại,mệt mỏi
2.0,ê má khúc đầu tức con nv vãi,ê má khúc đầu tức nv vãi
2.0,mình cũng vậy nè bà hứa với mình là chết rồi,nè hứa chết
2.0,người ấy toả sáng rực rỡ như hoàng hôn buổi chiều rạng rỡ và lãng mạn tôi lại là bóng tối đen huyền chả có bất kỳ hy vọng gì về cuộc sống trừ cậu chỉ là tớ và cậu cách xa quá nhiều chỉ có thể ngắm cậu từ xa cho đến khi cậu có một nửa của đời mình tớ đau lắm,toả rực rỡ hoàng hôn chiều rạng rỡ lãng mạn bóng tối đen huyền chả hy vọng sống trừ thể ngắm nửa đời đau lắm
2.0,tháng là cái tháng kinh khủng nhất trong năm cuộc đời t sẽ cố gắng vực dậy,kinh khủng đời t cố gắng vực dậy
2.0,tự dỗ mình rằng hết nghèo sẽ được ăn ngon mỗi ngày,dỗ nghèo ngon
2.0,cháu gái cô bị vậy đấy uống thuốc suốt đời,cháu gái đấy uống thuốc suốt đời
2.0,mỗi gói mì là một bữa tối với bao ước mơ chưa kịp nở,gói mì bữa tối bao ước mơ chưa kịp nở
2.0,có lẽ đây là sự bất lực cùng cưc của truyền thông bên phe yếu thế,lẽ bất lực cưc truyền thông phe yếu
2.0,ngày người ấy mất tôi như chết lặng,mất chết lặng
2.0,đúng rồi mà sợ bé bị lợi dụng để kiếm tiền nuôi những người chăn dắt trẻ,sợ bé lợi dụng kiếm tiền nuôi chăn dắt trẻ
2.0,mỗi khi nói ra lại bị coi thường,coi
2.0,thiếu nợ tr mà nghe sao thắm quá nhưng đế mình vượt qua chắc kg nỗi quá,nợ tr sao thắm đế kg nỗi
2.0,có lẻ bà mẹ đã nghi ngờ mối quan hệ của ông ấy nên ghen tuông mà ra thái độ như vậy không có lý do nào khác trên đời này gây nhau vì tiền bạc hay tật xấu gì đó vvv đều có thể giải quyết ổn thỏa duy chỉ có vấn đề ngoại tình thay lòng đổi dạ là làm cho người ta đau đớn nhất và sẽ trở nên hung dữ nhất lạnh lùng nhất tan vỡ nhất,lẻ mẹ nghi ngờ quan hệ ghen tuông thái độ đời tiền bạc hay tật xấu vvv giải quyết ổn thỏa ngoại tình thay đổi ta đau đớn trở hung lạnh lùng tan vỡ
2.0,muốn mạnh mẽ mà lại yếu đuối vô cùng,mẽ yếu đuối vô
2.0,tự nấu ăn bằng nồi siêu tốc vừa ăn vừa rơi nước mắt vì nhớ nhà,nấu nồi siêu tốc rơi mắt
2.0,ngồi trong đám tang mà lòng tan nát không nói được câu nào,đám tang tan nát câu
2.0,thời gian này vô tình gặp được em không biết là đã lỡ xảy ra tương tư từ khi nào nhưng mà tại sao bây giờ mình lại có những cảm xúc kì lạ lạc lõng mình không thể gọi tên được cảm xúc mỗi lần đứng trước em mình thật sự lạc lõng mơ hồ không biết liệu có nên tiếp tục không h mình không thể điều khiển được cảm xúc mình nữa,vô tình lỡ tương tư cảm xúc kì lạ lạc lõng gọi cảm xúc đứng lạc lõng mơ hồ liệu h khiển cảm xúc
2.0,mình bị rối loạn lo âu bệnh tật luôn nghĩ mình có bệnh mệt mỏi mất ngủ ngủ không sâu giấc năm nay rất khổ,rối loạn lo âu bệnh tật bệnh mệt mỏi mất ngủ ngủ sâu giấc khổ
2.0,đề nghị điều tra nếu có tội cần tử hình bọn chúng để bảo vệ sức khoẻ người tiêu dùng và răng đe những kẻ có manh nha sản xuất hàng giả,đề nghị tra tội tử hình bọn bảo vệ sức khoẻ tiêu đe kẻ manh nha sản xuất hàng giả
2.0,em rớt nước mắt rồi,rớt mắt
2.0,ước gì chương trình mời anh quang trung,ước chương trình mời quang trung
2.0,em đang rất lo lắng và cảm thấy có lỗi khi làm sai trong một dự án cộng đồng và gây ra hậu quả không tốt xem xong ví dụ của chị em đã phấn chấn hơn rất nhiều cảm ơn chị nhiều lắm ạ,lo lắng lỗi sai dự án cộng đồng hậu xong ví dụ phấn chấn cảm ơn lắm
2.0,mỗi sáng thức dậy trong căn phòng trọ ẩm thấp lại thấy lòng trống rỗng,thức dậy phòng trọ ẩm trống rỗng
2.0,sao con này đần vậy trời,sao đần trời
2.0,biến cố xảy ra khiến mình đứng hình muốn dừng lại rồi,biến cố đứng hình dừng
2.0,tự dặn lòng mỗi khó khăn hôm nay là để đổi lấy ngày mai tốt hơn,dặn khăn hôm đổi mai
2.0,các bro tội quá nhể,bro tội nhể
2.0,shốp ơi ghép nhạc tết vào được không em sợ quá em đang ở nhà một mình còn gặp ví dụ của shốp,shốp ghép nhạc tết sợ ví dụ shốp
2.0,hồi em chọn trường để học mà coi được clip này thì tốt qáu,hồi trường học coi clip qáu
2.0,ông ngoại mình cũng mất rồi,ngoại mất
2.0,tớ đã thích một người thích đến sâu đậm cái gì cũng nghĩ đến cậu trong cuốn nhật ký của mình chỉ toàn viết đến cậu cho đến khi cậu tìm được tình của cậu còn mình thì vẫn mang những giấc mông hão huyền,thích thích sâu đậm nhật ký toàn viết tình giấc mông hão huyền
2.0,mê đoạn này cực,mê đoạn cực
2.0,mới xem bên nhi đồng mất não xong lại qua đây xem nì,nhi đồng mất não xong nì
2.0,nếu các ông muốn biết thì cô ấy là eva elfie,eva elfie
2.0,tôi bịa,bịa
2.0,em t và đã đi làm được năm với rất nhiều công việc khác nhau nhưng thời điểm hiện tại em cảm thấy mình như chỉ đang tồn tại chứ không phải đang sống em tìm kiếm sự hỗ trợ từ nhiều nguồn mxh và em muốn trở lại con đường học tập nhưng em vẫn chưa định hướng được con đường phía trước em phải làm sao để biết bản thân thật sự đam mê điều gì đây ạ và trở lại học tập bây h là có muộn không làm thế nào để có thể vừa học vừa kiếm tiền để lo cho những ước muốn đó ạ cảm ơn anh,t đi công tồn sống kiếm mxh trở đường học tập chưa định hướng đường đam mê trở học tập bây h muộn học kiếm tiền lo ước cảm ơn
2.0,nhạc nền là gì vậy ạ,nhạc
2.0,chỉ còn lại những ký ức trong tim,ký ức tim
2.0,nhiều hôm tan ca muộn đi bộ về mà nước mắt cứ rơi,hôm tan ca muộn đi mắt rơi
2.0,nhiều lúc mệt mỏi chỉ muốn có một vòng tay gia đình ôm lấy,mệt mỏi vòng gia đình ôm
2.0,giấc mơ đổi đời mang tôi rời quê nhưng nó không cho tôi hạnh phúc,giấc mơ đổi đời rời quê hạnh phúc
2.0,ngày lễ là ngày buồn nhất với những người tha hương,lễ buồn tha hương
2.0,đi bước gặp tiểu nhân không ngóc đầu lên được nghi ngờ luôn nhân sinh,đi tiểu nhân ngóc đầu nghi ngờ nhân sinh
2.0,xem cả ngày o chán hay tuyệt vờicảm ơn chương trình thật nhiều,o chán hay tuyệt vờicảm ơn chương trình
2.0,gửi những lời tớ chẳng bao giờ có thể nóitớ thích cậu ấy không biết phải là yêu chưa nữa nhưng mà tớ hiện tại không buông bỏ được tớ lại nhận ra tớ muốn có được cậu lại không hẳn yêu cậu chăng cậu là forever crush của tớ dù có trải qua bao nhiêu người thì tớ vẫn hướng về cậu tớ theo đuổi cậu rất lâu rất dài đã đến khi sắp như đã thành công thì hoàn cảnh và cậu lại ban cho tớ một gáo nước cậu bảo cậu cũng thích tớ cậu gieo hi vọng cho tớ rồi cậu lại dập tắt nó để chính tớ phải là người nói kết thúc mối quan hệ lưng chừng này để giờ thì cậu có một mối quan hệ mới còn tớ thì vẫn kẹt trong cái bóng cũ đến khi gần như tớ đã quên cậu thì cậu lại nhắc tớ nhắc lại thứ tình cảm tớ tưởng như đã không còn ấy hiện giờ tớ phải dằn vặt trong sự bất lực khi nhìn cậu trong mối quan hệ mới và ai cũng ủng hộ cậu còn tớ thì không tớ ghét cậu lắm vốn lúc đầu cậu đã chẳng rung động với tớ cậu chỉ ngưỡng mộ hay chỉ là có cảm tình với tớ cậu lại nhầm tưởng đó là thích để bây giờ tớ có không thích đi chăng nữa cũng không còn tư cách để ghen để giữ cậu cho riêng mình yk,gửi chẳng nóitớ thích yêu chưa buông hẳn yêu forever crush trải hướng đuổi thành công hoàn cảnh ban gáo bảo thích gieo hi vọng dập tắt kết thúc quan hệ lưng chừng quan hệ kẹt bóng cũ quên nhắc nhắc tình cảm tưởng hiện dằn vặt bất lực quan hệ ủng hộ ghét lắm vốn đầu chẳng rung động ngưỡng mộ hay cảm tình nhầm tưởng thích thích đi tư ghen yk
2.0,thành phố nhiều xe nhiều người nhưng không ai quan tâm nhau,thành phố xe
2.0,nỗi đau mất người thân không thể diễn tả thành lời,nỗi đau mất thân diễn tả thành
2.0,tôi không còn muốn cố gắng nữa,cố gắng
2.0,tôi viết những dòng này giữa thành phố ồn ào mà lòng đau như cắt,viết dòng thành phố ồn đau cắt
2.0,thời đại rồi mà cầm quyền như thời trung cổ,thời đại cầm quyền thời trung cổ
2.0,tu em phải biết em làm gì chứ sao phải hỏi chương trình biết người ta hèn nhát nghe lời mẹ nữa vay con cho đoi gi nua chuong trinh không dam tra loi em cau hoi nay đau,tu chương trình ta hèn nhát mẹ vay đoi gi nua chuong trinh dam tra loi cau hoi đau
2.0,mỗi ngày đi làm như một cỗ máy quên mất mình từng có mơ ước,đi cỗ máy quên mất mơ ước
2.0,muốn gặp lại một lần thôi cũng không thể được nữa,muốn gặp lại một lần thôi cũng không thể được nữa
2.0,tôi sợ mình đang phí hoài tuổi trẻ ở giảng đường,sợ phí hoài trẻ giảng đường
2.0,đã bao lâu rồi chưa được ăn cơm với ba mẹ,chưa cơm mẹ
2.0,kzk kxkx,kzk kxkx
2.0,làm bài xong ra khỏi phòng thi là muốn khóc,xong phòng thi khóc
2.0,tôi chỉ ước một lần nữa được ôm người thân yêu,ước ôm thân yêu
2.0,yêu đơn phương là trái tim muốn yêu nhưng môi lại không thốt lên lời,yêu đơn phương trái tim yêu môi
2.0,ăn bữa cơm đầy đủ thịt cá cũng thấy xa xỉ lắm rồi,bữa cơm thịt cá xỉ lắm
2.0,khổ thân con cá lóc đến chết cũng không được yên thân,khổ thân cá lóc chết yên thân
2.0,mọi người ơi năm nay mình không được giấy khen đó là điều mà mình buồn nhất mọi người có cách nào không,giấy khen buồn
2.0,mỗi lần về quê thấy ba mẹ yếu hơn lại buồn,quê mẹ yếu buồn
2.0,ê mà tính ra thấy ổng live còn hay hơn bản thu luôn á,ê live hay bản thu
2.0,không thể làm với kẻ gian doi duoc,kẻ gian doi duoc
2.0,chị ở đâu quậy,quậy
2.0,tôi thấy mình lạc lõng giữa gia đình,lạc lõng gia đình
2.0,ăn nhiều tiền quá,tiền
2.0,mỗi lần nhìn ảnh quê là lòng lại se thắt,ảnh quê se thắt
2.0,uae ôtô ưu tin trách tức trên tin trách tao isco,uae ôtô ưu trách tức trách tao isco
2.0,hôm nay tớ mất quá nhiều rồi,hôm mất
2.0,anh em gắn giúp gia đinh quyền nhé chúc anh em khỏe mai,gắn giúp gia đinh quyền chúc khỏe mai
2.0,thấy cha mẹ gởi thêm tiền mà vừa mừng vừa xót,mẹ gởi tiền mừng xót
2.0,nhiều lúc ước có đứa con để ôm vào lòng,ước đứa ôm
2.0,cũng vừa thôi tiền mà dùng như thế thì,tiền
2.0,người ông hiền từ nay đã hóa tro tàn,hiền hóa tro tàn
2.0,bây h cảm xuc của tớ cũng khongbiet như thế nào nữa khi mà tớ bị trươt học sinh giỏi điều đó rất là bthuong nhưng mà công sức mà tớ bỏ ra và cô tin tưởng vào tớ nhưng thât sự tớ rất buồn khi tớ chỉ thiếu điểm và một mình tớ không có giải mà các bạn lại có điều đó tớ cảm thấy rấ áy áy mặc dù bên ngoài tớ rất vui vẻ nhưng khi về đến nhà tớ lại cảm thấy rất áy náy và tủi thân và tớ luôn đặt ra câu hỏi tại sao mình không cố gắng thêm tí nữa để đỡ có kết quả buồn như bây h,bây h cảm xuc khongbiet trươt học sinh giỏi bthuong công sức tưởng thât buồn giải rấ áy áy mặc vui vẻ áy náy tủi thân cố gắng tí đỡ kết buồn bây h
2.0,lúc mình đi viện mới lên viện thì nghe mọ mất nhưng em không được về chỉ có bố em được về vì em phải ở lại kiểm tra và em không được gặp mọ lần cuối,đi viện viện mọ mất bố kiểm tra mọ
2.0,tôi chỉ muốn tìm một người có thể lắng nghe tôi nhưng tại sao người đó lại phản bội tôi thêm vào đó là những áp lực từ bạn bè gia đình không trọn vẹn tôi ước gì mình sẽ có một tuần thật yên bình dù chỉ tuần,lắng phản bội áp lực bè gia đình trọn vẹn ước tuần yên bình tuần
2.0,tớ thích người dù biết sẽ không có kết quả không phải vì cậu ấy có người yêu hay cậu ấy có nhiều người thích người khác thấy cậu ấy lập dị nhưng với tớ cậu học cái gì cũng giỏi chơi cái gì cũng hay tớ không biết từ bao giờ tình cảm này lớn lên phải làm sao đây tớ không dám nói vì sợ cái sợ ấy không phải là cậu từ chối tớ mà chúng ta sẽ đối mặt ra sao còn mấy tháng nữa thôi sẽ hết cấp ba tớ và cậu sẽ có thể không liên quan đến nhau nữa chắc cậu cũng không nghĩ rằng tớ thích cậu đâu với thay bằng những câu nhắn tin chơi game hoặc giảng toán thì cậu sẽ nói với tớ ngủ ngon và chào buổi sáng được không tớ nắm tay cậu là tớ thích cậu không phải tớ xem bói gì đâu tớ chỉ không dám nói với cậu rằng tớ thích cậu cậu cứ hạnh phúc nhé,thích kết yêu hay thích lập dị học giỏi hay tình cảm dám sợ sợ chối đối mặt mấy thích thay câu nhắn game giảng toán ngủ ngon chào nắm thích bói dám thích hạnh phúc
2.0,cuộc sống nơi đây không làm tôi mạnh mẽ chỉ khiến tôi chai lì,sống mẽ chai lì
2.0,tôi cảm thấy bất lực trước mọi thứ,bất lực
2.0,mình cũng bị vậy cần uống thuốc gì vậy bác sĩ,uống thuốc sĩ
2.0,một chàng trai tuổi công việc vẫn ngày nào ăn ngày đó gia đình cha mẹ còn lam lũ bương trải với đời tình cảm cũng thất bại ngay cả mái ấm của mình vẫn chưa bằng ai suy nghĩ năm nữa rồi mà chẵng có bất cứ một thứ gì dù cũng đã rất nỗ lực năm từ lúc còn tuổi áp lực và mệt mõi cứ mỗi tối đến nằm suy nghĩ mà chán nãn,chàng trai công gia đình mẹ lam lũ bương trải đời tình cảm thất bại mái ấm chưa suy chẵng nỗ lực áp lực mệt mõi tối nằm suy chán nãn
2.0,đôi khi nỗi buồn lớn đến mức không thể thở nổi,đôi nỗi buồn thở nổi
2.0,vợ chồng nùn lại ăn nhiều sau này nó phi ra,vợ chồng nùn phi
2.0,gọi đến để được tư vấn tâm lý miễn phí hãy đăng ký kênh và bình luận ý kiến của bạn xem chương trình còn điều gì chưa tốt chúng tôi sẽ điều chỉnh lại để làm hài lòng các khán giả khi bà con cô bác đăng ký và bình luận chuyên gia đinh đoàn và đội ngũ làm chương trình sẽ rất vui đó bạn hãy xem ở đây nếu bạn bỏ lỡ những số trước nhé kính chúc mọi người và gia đình luôn vui vẻ và hạnh phúc,gọi tư vấn tâm lý miễn phí đăng ký kênh bình luận kiến chương trình chưa chỉnh hài khán giả đăng ký bình luận chuyên gia đinh đoàn đội ngũ chương trình vui lỡ kính chúc gia đình vui vẻ hạnh phúc
2.0,cách nói chuyện rất dí dõm và vui tai,dí dõm vui tai
2.0,gang giup huyen nha vu,gang giup huyen nha vu
2.0,ông già dậy đi tiểu bị ngã tại sao lại thế nhỉ tại sao không để cái chậu nước sạch ở chân giường dậy là ngồi xuống tay vịn thành giường mà tiểu,già dậy đi tiểu ngã chậu sạch chân giường dậy vịn thành giường tiểu
2.0,kênh vô đạo đức này tồn tại,kênh vô đạo đức tồn
2.0,tối hôm ấy đói quá không ngủ được phải lấy nước nóng uống tạm,tối hôm đói ngủ nóng uống tạm
2.0,muốn có tiếng khóc trẻ thơ trong nhà lắm rồi,tiếng khóc trẻ thơ lắm
2.0,vợ ngoại tình nếu có hành động này trước khi ngủ,vợ ngoại tình hành động ngủ
2.0,trước đây mình có điều trị động kinh và phẩu thuật do khối u ở thuỳ thái dương sau này mình cảm thấy cơn động kinh giảm bớt không bị liên tục như hồi đó nhưng bây giờ việc mình thủ dâm sau một hai ngày sau là mình có cảm giác lạ điều gì đó làm cho mệt tức ngực lên đau nhói tim rợn da gà và mạnh hơn nữa là bất tĩnh co giật luôn,trị động kinh phẩu thuật khối u thuỳ thái dương động kinh bớt liên tục hồi thủ dâm hai cảm giác lạ mệt tức ngực đau nhói tim rợn da gà bất tĩnh co giật
2.0,sao không đập thằng chồng nó chơì hết con này tới con khác thôi đánh cả đời củng không hết đâu chị vợ ạ lo mà đánh son sửa sạn lại là nó sợ à chị ạ,sao đập thằng chồng chơì đánh đời củng vợ lo đánh son sửa sạn sợ
2.0,mẹ không đồng ý người yêu không có bản lĩnh sợ mẹ thế thì bỏ thôi chứ lấy vào sống cùng mẹ chồng khổ lắm cháu ạ,mẹ đồng yêu bản lĩnh sợ mẹ sống mẹ chồng khổ lắm cháu
2.0,tôi đã từng sống qua những tháng như thế và tôi chưa từng quên,sống quên
2.0,sống để làm gì khi không còn người thân bên cạnh,sống thân
2.0,sinh viên nghèo ăn mì cả tuần nhưng vẫn mong giữ lại ít tiền để gửi về cho mẹ,sinh viên nghèo mì tuần mong tiền gửi mẹ
2.0,nhìn người ta sum họp mà lòng chỉ muốn chạy thật nhanh về quê,ta sum họp chạy quê
2.0,bì thì,bì
2.0,muốn gọi về cho mẹ mà sợ mẹ nghe tiếng mình nghẹn ngào,gọi mẹ sợ mẹ tiếng nghẹn ngào
2.0,học phí tăng mà học chẳng thấy tương lai,học phí học chẳng tương lai
2.0,tớ thường không xem postcard mới nhất của vì sao thế nhỉ bình thường tớ buồn sẽ nghe vì sao thế nhỉ lạ hơn nữa là youtube sẽ luôn đề xuất những video giống với cảm xúc hiện tại của tớ khi mà tớ xem video này lại là vào lúc nó đã phát hành được năm,postcard bình buồn lạ youtube đề xuất video cảm xúc video phát hành
2.0,thấy mẹ ngủ mà gương mặt đầy nếp nhăn,mẹ ngủ gương mặt nếp nhăn
2.0,máu trên áo kìa,máu áo kìa
2.0,có những hôm đói quá chỉ dám nhai bánh mì khô rồi ngủ,hôm đói dám nhai bánh mì khô ngủ
2.0,để xoa dịu nỗi đau của cô ấy,xoa dịu nỗi đau
2.0,nỗi nhớ người đã khuất theo tôi từng đêm,nỗi khuất đêm
2.0,buồn quá đi,buồn đi
2.0,em đã khóc khi xem được video này vì em cảm thấy được à thì ra ngoài kia cũng có nhiều người giống mình em search key làm sao để xác định nên làm gì vào thời điểm nào thật may mắn vì video của anh trí đã hiện ra như một liều thuốc an ủi vỗ về tâm hồn em em năm nay tuổi vừa nộp đơn nghỉ việc hồi tuần trước và đang loay hoay tìm việc mới càng tìm việc mới em lại càng thấy tự ti về bản thân và mông lung về con đường sự nghiệp của bản thân em không biết con đường em đang đi có đúng không có nên tiếp tục không em nên làm gì ở thời điểm hiện tại em nhận thấy bản thân là người rất khó để đưa ra lựa chọn liệu nên tiếp tục công việc hiện tại hay rẽ sang hướng khác người yêu cũ của em nói với em rằng người ấy không thể nào ở bên cạnh một người cứ mãi dậm chân tại chỗ một người đang chạy còn người kia cứ chậm rãi mà đi chắc chắn không thể bên nhau lâu dài được và thế là tụi em chia tay em của tuổi vừa thất nghiệp vừa thất tình p s nói rõ hơn một chút về sự nghiệp của em có những thành tựu mà nhiều người mong ước em có thể dẫn dắt và trainning nhóm nhỏ trong lĩnh vực marketing ngoài ra em còn làm affiliate có một shop nước hoa và một shop phụ kiện nhỏ dù thất nghiệp nhưng vẫn có thể kiếm được tiền nhưng thật sự bản thân em hiện tại chẳng có gì ngoài mông lung,khóc video kia search key xác định may mắn video trí hiện liều thuốc an ủi vỗ tâm hồn nộp đơn nghỉ hồi tuần loay hoay ti mông lung đường nghiệp đường đi lựa liệu công hay rẽ hướng yêu cũ mãi dậm chân chỗ chạy kia chậm rãi đi tụi chia thất nghiệp thất tình p s chút nghiệp thành tựu mong ước dắt trainning lĩnh vực marketing affiliate shop hoa shop phụ kiện thất nghiệp kiếm tiền chẳng mông lung
2.0,bố mẹ chỉ biết la mắng không quan tâm,bố mẹ la mắng
2.0,thů thách hôm nay đã là tôt cùng cůa sų nghèo khó cuôc sóng đã dôn tôi vào buóc đuòng cùng và gân nhu kg còn lôi thoát và bây giò bån thân tôi đã mât hêt niêm tin vào cuôc sông,thů thách hôm tôt cůa sų nghèo cuôc sóng dôn buóc đuòng gân nhu kg lôi thoát bây giò bån thân mât hêt niêm cuôc sông
2.0,kết buồn quá ạ,kết buồn
2.0,zoomers mới nghĩ vậy chứ đời của millennials thì khác,zoomers đời millennials
2.0,đây là bình luận ít like nhất,bình luận like
2.0,cau phat troi phu ho cho con,cau phat troi phu ho
2.0,tôi biết là tôi tự tạo ra tất cả áp lực nhưng lại không biết cách chấm dứt nó gd bb thi cử tc rồi nên làm gi để kiếm tiền và hàng trăm thứ,áp lực chấm dứt gd bb thi cử tc gi kiếm tiền hàng trăm
2.0,ở thành phố phải học cách quen với cô đơn,thành phố học quen đơn
2.0,thành phố lúc mưa buồn hơn cả làng quê lúc đông về,thành phố mưa buồn làng quê đông
2.0,mỗi ngày đi học là một ngày mỏi mệt,đi học mỏi mệt
2.0,làm thêm cả tháng trả tiền trọ xong là gần như trắng tay,tiền trọ xong trắng
2.0,tôi phải chịu đựng tất cả một mình,đựng
2.0,xin chia buồn cho gia đình,chia buồn gia đình
2.0,tạm biệt nỗi lo bớt mong cầu bớt tránh né có kinh nghiệm đối ứng trí tuệ tự tin phải có sức chịu đựng có khả năng hài lòng với những gì mình đang có,tạm biệt nỗi lo bớt mong cầu bớt né kinh nghiệm đối ứng trí tuệ sức đựng khả năng hài
2.0,nghe mà nao lòng ở tuổi vừa kết hôn có những thứ dường như bình thường của mỗi người mình lại đang mông lung không quá tồi tệ nhưng khiến bản thân nghi ngời chính mình mình không tốt không giỏi không biết thời gian tới như thế nào mong bản thân chân cứng đá mềm vượt qua tất cả có công việc tốt bền vững mình bị nhanh nản lắm để hành trình sắp tới của mình thật bản lĩnh vượt qua tất cả,nao kết hôn dường bình mông lung tồi tệ nghi ngời giỏi mong chân cứng đá mềm công bền vững nản lắm hành trình bản lĩnh
2.0,kỷ niệm cũ khiến tôi bật khóc giữa đêm,kỷ niệm cũ bật khóc đêm
2.0,bombardino crocodilo,bombardino crocodilo
2.0,tôi luôn bị trách mắng dù không sai,trách mắng sai
2.0,đâu bằng vụ bà bộ trưởng y tế nguyễn thị kim tuyến mua thuốc ung thư giả về bán mà còn được tẳng huy chương vì nhân dân quyên mình,vụ trưởng y tế nguyễn thị kim tuyến mua thuốc ung thư giả tẳng huy chương nhân dân quyên
2.0,ngân hàng nào xù có thì nói nh,ngân hàng xù nh
2.0,mỗi lần về quê rồi quay lại thành phố là một lần đau lòng,quê thành phố đau
2.0,người mỹ lại được mua sản phẩm mình yêu thích với mức giá cao hơn trước nhiều lần do tăng giá thuế nhập khẩu,mỹ mua sản phẩm yêu thích giá giá thuế nhập khẩu
