label,comment,tokens
0.0,đây là trong những kên có ích nhất,đây là trong những kên có_ích nhất
0.0,hừ hừ in như ft,hừ hừ in như ft
0.0,giặp tôi tôi phát trực tiếp,giặp tôi tôi phát trực_tiếp
0.0,thua tổng là kết quả,thua tổng là kết_quả
0.0,vòng loại euro năm nay dù là trận đấu thủ tục mà mấy hlv vẫn dùng đội hình mạnh nhất chả bt eufa bắt thế hay là do tôn trọng đối thủ,vòng loại euro năm nay dù là trận đấu thủ_tục mà mấy hlv vẫn dùng đội_hình mạnh nhất chả bt eufa bắt_thế hay_là do tôn_trọng đối_thủ
0.0,fdsfsd,fdsfsd
0.0,theo cá nhân tôi đề nghị những kẻ làm việc xấu mà ảnh hưởng đến pháp luật chúng ta không lên dấu tên những kẻ đó,theo cá_nhân tôi đề_nghị những kẻ làm_việc xấu mà ảnh_hưởng đến pháp_luật chúng_ta không lên dấu tên những kẻ đó
0.0,giọng ôg bố trầm,giọng ôg bố trầm
0.0,ê không biết luôn á lúc đầu tui thấy cái bài đó trong cách sách âm nhạc của tui á tui tưởng là chỉ một bài nhạc bình thường thôi ai dè nó kinh dị đến vậy,ê không biết luôn á lúc đầu tui thấy cái bài đó trong cách sách âm_nhạc của tui á tui tưởng là chỉ một bài_nhạc bình_thường thôi ai dè nó kinh_dị đến vậy
0.0,đúng là chênh vênh tuổi thật sự rất khủng khiếp về tinh thần mình tn đại học và rơi vào khủng hoảng không biết bản thân thích gì đam mê gì vì thật ra mình không hề tệ mình biết nhiều thứ và không quá chuyên sâu vào một lĩnh vực nào mình gap year tháng để học thật trôi chảy ngoại ngữ và rồi quyết định thi vào trong những nh lớn nhất việt nam cùng với sự may mắn và nỗ lực của bản thân mình vượt qua kì thi tuyển dụng và có được công việc ổn định và cơ hội thăng tiến trong tương lai theo đồng nghiệp mình nói như vậy mức lương thì cũng khá và quan trọng là nơi đây mình đã gặp mối tình đầu của mình mình nhiều lần suy nghĩ dừng công việc hiện tại nhưng vì đã yêu bạn trai nên mình không nỡ nhưng sau gần năm làm việc thì mình thật sự trống rỗng mình rơi vào khủng hoảng tinh thần và tâm lý cực kì mình đã quyết định nghỉ việc công việc mà nhiều người tâm sự rằng họ rất khao khát mình cũng biết vậy nhưng mình đã dứt khoát nghỉ vì mình không thể chịu nổi áp lực tinh thần mọi người xung quanh và gia đình ai cũng nói mình bị sao sao khi nghỉ việc mặc dù mình không đến nỗi chết đói nhưng vẫn bị áp lực từ gia đình người thân và mình tự cảm thấy tự ti với những mối quan hệ xung quanh kể cả bạn trai mình dần dần tập cách suy nghĩ tích cực rằng cánh của này đóng sẽ có cánh của khác mở ra nếu mình tích cực thì sẽ ổn mình chia sẽ ở đây nếu ai có ý kiến hay chia sẻ cứ hoan hỉ bình luận rất biết ơn mọi người đã đọc bình luận dài một sớ này nhaaa,đúng là chênh_vênh tuổi thật_sự rất khủng_khiếp về tinh_thần mình tn đại_học và rơi vào khủng_hoảng không biết bản_thân_thích gì đam_mê gì vì thật_ra mình không hề tệ mình biết nhiều thứ và không quá chuyên_sâu vào một lĩnh_vực nào mình gap year tháng để học thật trôi_chảy ngoại_ngữ và rồi quyết_định thi vào trong những nh lớn nhất việt_nam cùng_với sự may_mắn và nỗ_lực của bản_thân mình vượt qua kì_thi tuyển_dụng và có được công_việc ổn_định và cơ_hội thăng_tiến trong tương_lai theo đồng_nghiệp mình nói như_vậy mức lương thì cũng khá và quan_trọng là nơi đây mình đã gặp mối tình_đầu của mình mình nhiều lần suy_nghĩ dừng công_việc hiện_tại nhưng vì đã yêu bạn trai nên mình không nỡ nhưng sau gần năm làm_việc thì mình thật_sự trống_rỗng mình rơi vào khủng_hoảng tinh_thần và tâm_lý cực_kì mình đã quyết_định nghỉ_việc công_việc mà nhiều người tâm_sự rằng họ rất khao_khát mình cũng biết vậy nhưng mình đã dứt_khoát nghỉ vì mình không_thể chịu nổi áp_lực tinh_thần mọi người xung_quanh và gia_đình ai cũng nói mình bị sao sao khi nghỉ_việc mặc_dù mình không đến_nỗi chết_đói nhưng vẫn bị áp_lực từ gia_đình người_thân và mình tự cảm_thấy tự_ti với những mối quan_hệ xung_quanh kể_cả bạn trai mình dần_dần tập cách suy_nghĩ tích_cực rằng cánh của này đóng sẽ có cánh của khác mở ra nếu mình tích_cực thì sẽ ổn mình chia sẽ ở đây nếu ai có ý_kiến hay chia_sẻ cứ hoan_hỉ bình_luận rất biết_ơn mọi người đã đọc bình_luận dài một sớ này nhaaa
0.0,cần chấn chỉnh từ các cơ quan quản lý cấp cơ sở,cần chấn_chỉnh từ các cơ_quan quản_lý cấp cơ_sở
0.0,ánh mặt của hội học sinh chx bao h làm tui thất vọng,ánh mặt của hội học_sinh chx bao_h làm tui thất_vọng
0.0,dân chủ có thể nguy hiểm như cộng sản nhìn vào công dân mỹ những người phản đối để mở đất nước mặc dù rất nhiều người chết nhìn những gì mỹ đã làm cho rất nhiều quốc gia trên thế giới ăn cắp dầu tấn công các quốc gia khác xử phạt các quốc gia khác tất cả những người không phải là phù hợp với mỹ sẽ bị phá hủy có s không có hệ thống hoàn hảo trên thế giới giữa dân chủ và cộng sản có lẽ là tốt nhất giống như singapore,dân_chủ có_thể nguy_hiểm như cộng_sản nhìn vào công_dân mỹ những người phản_đối để mở đất_nước mặc_dù rất nhiều người chết nhìn những gì mỹ đã làm cho rất nhiều quốc_gia trên thế_giới ăn_cắp dầu tấn_công các quốc_gia khác xử_phạt các quốc_gia khác tất_cả những người không phải là phù_hợp với mỹ sẽ bị phá hủy có s không có hệ_thống hoàn_hảo trên thế_giới giữa dân_chủ và cộng_sản có_lẽ là tốt nhất giống như singapore
0.0,că p mă t thă người ta u ghê sơ qua,că p mă t thă người ta u ghê_sơ qua
0.0,thành phần côn đồ này cần bị xử lý nghiêm,thành_phần côn_đồ này cần bị xử_lý nghiêm
0.0,ai khỏi chưa ạ bảo nhau với,ai khỏi chưa ạ bảo nhau với
0.0,tớ thích một bạn lớp anh tớ không thể quên được cảnh anh ấy đưa áo khoác cho người khác giới rồi mặc hộ rồi còn nắm tay đụng đầu vào nhau,tớ thích một bạn lớp anh tớ không_thể quên được cảnh anh ấy đưa áo_khoác cho người khác giới rồi mặc hộ rồi còn nắm tay đụng_đầu vào nhau
0.0,kết câu cuối,kết câu cuối
0.0,xưa học nội trú đến tối chỉ mong cúp điện nhiều thằng nó còn hỏi tạt nước vào cầu dao tổng có cúp điện không sau trường trang bị máy phát điện thì mấy thằng dở hơi mới không lượn lờ quanh cầu dao tổng nữa ai từng học dân lập nguyễn khuyến cơ sở chắc vẫn nhớ mấy vụ này,xưa học nội_trú đến tối chỉ mong cúp điện nhiều thằng nó còn hỏi tạt nước vào cầu dao_tổng có cúp điện không sau trường trang_bị máy_phát_điện thì mấy thằng dở_hơi mới không lượn_lờ quanh cầu dao_tổng nữa ai từng học dân_lập nguyễn_khuyến_cơ_sở chắc vẫn nhớ mấy vụ này
0.0,đôi khi đói quá cha u bị hạ đươ người huyê t,đôi_khi đói quá cha_u bị hạ_đươ người huyê t
0.0,admin cho hỏi mặt em người yêu là elle fanning có phải không nhỉ,admin cho hỏi mặt em người_yêu là elle fanning có phải không nhỉ
0.0,t sinh năm luôn,t sinh năm luôn
0.0,khi bạn muốn cưới nhưng không đủ tuổi kiểu,khi bạn muốn cưới nhưng không đủ tuổi kiểu
0.0,tu ơi đư người no i phe t nư anh,tu ơi đư người no i phe t nư anh
0.0,skibidi,skibidi
0.0,huhu em iêu chị quá,huhu em iêu chị quá
0.0,admin làm seri đơn giản hóa các loại quả đi,admin làm seri đơn_giản hóa các loại quả đi
0.0,coi video của kênh này thì như lồn kiến thức không có làm đơn giản có vài cái còn sai kiến thức nặng nề thậm chí cop nhặt trên mạng thiếu chính xác coi phí cả cuộc đời,coi video của kênh này thì như lồn kiến_thức không có làm đơn_giản có vài cái còn sai kiến_thức nặng_nề thậm_chí cop_nhặt trên mạng thiếu chính_xác coi phí cả cuộc_đời
0.0,chỉ thiếu cái nhan nữa là đúng bài,chỉ thiếu cái nhan nữa là đúng bài
0.0,anh gấu ơi lv gamme quy tắc làm kiểu gì anh,anh gấu ơi lv gamme quy_tắc làm kiểu gì anh
0.0,chúng ta hãy cùng thành lập quân đội chờ ngày thầy minh tuệ và các sư về việt nam lãnh đạo lật đổ chính quyền thôi,chúng_ta hãy cùng thành_lập quân_đội chờ ngày thầy minh_tuệ và các sư về việt_nam lãnh_đạo lật_đổ chính_quyền thôi
0.0,admin khai thật đi admin có phải bị ép quảng cáo cho fpt phải không,admin khai thật đi admin có phải bị ép quảng_cáo cho fpt phải không
0.0,kênh này có vẻ ra phim có đoạn kết nè nhiều kênh nó cắt ngang t quạu thấy ghê,kênh này có_vẻ ra phim có đoạn kết_nè nhiều kênh nó cắt ngang t quạu thấy ghê
0.0,l v dạ lúc nào cũng đáng yêu còn huýnh lập cũng dễ thương luôn,l v_dạ lúc_nào cũng đáng yêu còn huýnh_lập cũng dễ_thương luôn
0.0,nước ngoài hay nước ngoày hỡi tiếng việt,nước_ngoài hay nước ngoày_hỡi tiếng việt
0.0,bớt mong cầu và bớt tránh nécó kinh nghiệm đối ứng và phải có trải nghiệmtự tin hoặc phải có sức chịu đựngtập cách hài lòng với những gì mình đang cóa di đà phật,bớt mong_cầu và bớt tránh nécó kinh_nghiệm đối_ứng và phải có trải nghiệmtự tin hoặc phải có sức chịu đựngtập cách hài_lòng với những gì mình đang cóa di_đà phật
0.0,sau này nó lớn nó chém chết thì đừng hỏi tại sao tố cáo về nó đánh nhiều thêm thì sao ly hôn thì phải mất nhiều thời gian không ai bảo vệ bi kịch xảy ra không thể tránh khỏi,sau_này nó lớn nó chém chết thì đừng hỏi tại_sao tố_cáo về nó đánh nhiều thêm thì sao ly_hôn thì phải mất nhiều thời_gian không ai bảo_vệ bi_kịch xảy ra không_thể tránh khỏi
0.0,tôi muốn hỏi lại văn sâm chứ đâu hỏi ông bạch mà nói lạc đề vậy,tôi muốn hỏi lại văn_sâm chứ đâu hỏi ông bạch mà nói lạc_đề vậy
0.0,lấy biểu tượng của gấu trúc phát xít china,lấy biểu_tượng của gấu_trúc phát_xít china
0.0,mỗi ngày ra ví dụ mới di ạ hay quá mà lâu ra,mỗi ngày ra ví_dụ mới di_ạ hay quá mà lâu ra
0.0,tạm biệt nỗi lo nhé bớt mong cầu bớt tránh né có kinh nghiệm đối ứng có trí tuệ tự tin có sức chịu đựng hài lòng với những gì mình đang có,tạm_biệt nỗi lo nhé bớt mong cầu bớt tránh_né có kinh_nghiệm đối_ứng có trí_tuệ tự_tin có sức chịu_đựng hài_lòng với những gì mình đang có
0.0,bộ này giống truyện gì bên page mộng không thường nè trùm cuối là tiểu vy,bộ này giống truyện gì bên page mộng không thường nè trùm cuối là tiểu_vy
0.0,đó là một phần trong cuộc sống vội và này cơm áo gạo tiền,đó là một phần trong cuộc_sống vội và này cơm_áo gạo tiền
0.0,có cách tạm biệt nỗi lo bớt mong cầu bớt tránh né có kinh nghiệm đối ứng có trí tuệ tự tin và có sức chịu đựng hài lòng với những gì mình đang có nam mô anh di đà phật con xin cảm ơn thầy,có cách tạm_biệt nỗi lo bớt mong cầu bớt tránh_né có kinh_nghiệm đối_ứng có trí_tuệ tự_tin và có sức chịu_đựng hài_lòng với những gì mình đang có nam mô anh di_đà phật con xin cảm_ơn thầy
0.0,bài hát này hôm qua con mới được học,bài hát này hôm_qua con mới được học
0.0,nhạc nền hay đó admin,nhạc nền hay đó admin
0.0,vấn đề dân trí ở từng chỗ thôi,vấn_đề dân_trí ở từng chỗ thôi
0.0,cây bút cm trong quần giáo viên ý,cây_bút cm trong quần_giáo_viên ý
0.0,tôi lớp chị nè,tôi lớp chị nè
0.0,cho vào nhà nghi,cho vào nhà nghi
0.0,hình ảnh tôi thi hoá,hình_ảnh tôi thi hóa
0.0,ct mời chị lan ngọc đi ạ,ct mời chị lan ngọc đi ạ
0.0,ác vừa thôi,ác vừa thôi
0.0,đồ việt nam nên nhân rộng khắp thế giới,đồ việt_nam nên nhân rộng khắp thế_giới
0.0,nếu là trường học của em thì em cũng không có biết làm sao anh cháy trườngggggggggggggggggggggggggggggggggggggggggggggggggggggggggg,nếu là trường_học của em thì em cũng không có biết làm_sao anh cháy trườngggggggggggggggggggggggggggggggggggggggggggggggggggggggggg
0.0,không chơi với tàu cộng sẽ được thái bình yên vui hơn,không chơi với tàu cộng sẽ được thái_bình_yên vui hơn
0.0,nên nhớ mỗi quốc gia chế độ kiểm soát riêng mình như kiểu đất nước mỗi gia đình có kiểu dậy con cái khác nhau chả ai giống ai mình cứ làm tốt phận mình đi rồi phán xét người khác,nên nhớ mỗi quốc_gia chế_độ kiểm_soát riêng mình như kiểu đất_nước mỗi gia_đình có kiểu dậy con_cái khác nhau chả ai giống ai mình cứ làm tốt_phận mình đi rồi phán_xét người khác
0.0,tôi rất quý anh nên tôi mới nói anh chẳng biết gì về đầu tư cả nhận định của anh về giá trị chẳng có ý nghĩa gì cả so với smart money,tôi rất quý anh nên tôi mới nói anh chẳng biết gì về đầu_tư cả nhận_định của anh về giá_trị chẳng có ý_nghĩa gì cả so với smart money
0.0,com dao thì ném vào thầy giáo,com dao thì ném vào thầy_giáo
0.0,nghe tàu cộng là bán nhàtổng thống trump sáng suốt,nghe tàu cộng là bán nhàtổng_thống trump sáng_suốt
0.0,có phương pháp để tạm biệt lo lắng bớt mong cầu bớt tránh nécó kinh nghiệm đối ứng có trí tuệ tự tin và có sức chịu đựng luôn nhận thấy những điều kiện hạnh phúc xung quanh mình đang có,có phương_pháp để tạm_biệt lo_lắng bớt mong cầu bớt tránh nécó kinh_nghiệm đối_ứng có trí_tuệ tự_tin và có sức chịu_đựng luôn nhận thấy những điều_kiện hạnh_phúc xung_quanh mình đang có
0.0,coi phút thứ,coi phút thứ
0.0,tôi chưa bao giờ coi thầy minh tuệ mà cũng chẳng cần biết mt là ai,tôi chưa bao_giờ coi thầy minh_tuệ mà cũng chẳng cần biết mt là ai
0.0,không ăn thua lắm,không ăn_thua lắm
0.0,chỗ mình nè,chỗ mình nè
0.0,đầy họ fhfhfhcbcbhc vvxbx,đầy họ fhfhfhcbcbhc vvxbx
0.0,đầu nè gấu ghim emmm điii,đầu nè gấu_ghim emmm điii
0.0,tạ ơn chúa vì,tạ ơn_chúa vì
0.0,tsu cho qua,tsu cho_qua
0.0,theo tôi là không nêntử hình việt nam có một o,theo tôi là không nêntử_hình việt_nam có một o
0.0,nhờ cơ quan công an xử nghiêm những bảo mẩu hành hạ trẻ em như thế,nhờ cơ_quan công_an xử_nghiêm những bảo_mẩu hành_hạ trẻ_em như thế
0.0,lika,lika
0.0,đúng là không có bóng thiệt nha,đúng là không có bóng thiệt_nha
0.0,em thấy giống như anh da đen làm video vậy,em thấy giống như anh da đen làm video vậy
0.0,al le lui anh al le lui anh,al_le lui anh al_le lui anh
0.0,chúc chị ra đi thanh thản,chúc chị ra đi thanh_thản
0.0,khi bị tâm bệnh mình hiểu nguyên nhân gốc rễ của vấn đề thì mình sẽ chữa được triệt để và không bị tái lại bệnh đó là nguyên lý chung của mọi vấn đề ai cần tư vấn cho mình cách liên lạc nhé mình sẽ hướng dẫn cho,khi bị tâm_bệnh mình hiểu nguyên_nhân gốc_rễ của vấn_đề thì mình sẽ chữa được triệt_để và không bị tái lại bệnh đó là nguyên_lý chung của mọi vấn_đề ai cần tư_vấn cho mình cách liên_lạc nhé mình sẽ hướng_dẫn cho
0.0,tốt nhất trường sẽ có hơn bình chữa cháy để dập,tốt nhất trường sẽ có hơn bình chữa_cháy để dập
0.0,chỉ cần pháo thủ không để thủng lưới sớm là ok nếu không dễ bị lật kèo lắm vô gặp psg tuy psg đá hay thật nhưng đêm qua đá với vila cũng bình thường nếu chơi đúng sức pháo thủ cũng có thể lụm được psg,chỉ cần pháo_thủ không để thủng lưới sớm là ok nếu không dễ bị lật kèo lắm vô gặp psg tuy psg đá hay thật nhưng đêm qua đá với vila cũng bình_thường nếu chơi đúng sức pháo_thủ cũng có_thể lụm được psg
0.0,bon cho cai nay no da di dit bay ty le co da tam rat ban thiu no san sang lam viec ac de dat muc dich nhiẹu truong hop no hop tac voi cho dai giet ca con ca chong de chiem tai san de chung no dit nhau thoai mai,bon cho cai nay no da di_dit bay_ty le_co da tam_rat ban thiu no san sang lam_viec ac de dat muc dich nhiẹu truong hop no hop tac voi cho dai_giet ca con ca chong de chiem tai san_de chung no dit nhau thoai mai
0.0,tập này dài với hay quá hóng thêm quy tắc trò chơi của đô ra quá,tập này dài với hay quá hóng thêm quy_tắc trò_chơi của đô ra quá
0.0,ra tập dài di aaa,ra tập dài di_aaa
0.0,đạt có bịa thì bịa thấp thấp thôi bịa cao quá tui hát karaoke muốn đứt gân cổ,đạt có bịa thì bịa thấp thấp thôi_bịa cao quá tui hát karaoke muốn đứt_gân cổ
0.0,sao fpt book quảng cáo ở đây nữa cơ à,sao fpt book quảng_cáo ở đây nữa cơ à
0.0,cảm ơn thầy đã chia sẻ những giá trị lòng yêu thương sự tự tại bên trong thầy đã giúp chúng con vững tâm và an lạc trong cuộc sống đầy tấp nập này,cảm_ơn thầy đã chia_sẻ những giá_trị lòng yêu_thương sự tự tại bên trong thầy đã giúp chúng con vững_tâm và an_lạc trong cuộc_sống đầy tấp_nập này
0.0,pháo thủ arsenal gia hạn với saka,pháo thủ_arsenal gia_hạn với saka
0.0,chuyện giống nội quy kí túc xá,chuyện giống nội_quy_kí_túc_xá
0.0,trung quốc chiếm biển đông chủ yếu là loại mỹ hướng đông dần dần mở rộng ra thế giới làm bá chủ loại mỹ là nước đứng đầu thế giới từ trước đến nay làm đảo lộn cuộc sống các nước asia cả châu á thế giới nên hợp sức trừ khử trung quốc ngang tàng cứ ngỡ nhận trung quốc là một nước mạnh nhất thế giới không bao giờ là như thế t q chỉ mộng tưởng mà thôi thế giới không bao giờ thừa t quốc,trung_quốc chiếm biển đông chủ_yếu là loại mỹ_hướng đông dần_dần mở_rộng ra thế_giới làm bá_chủ loại mỹ là nước đứng đầu thế_giới từ trước đến nay làm đảo_lộn cuộc_sống các nước asia cả châu_á thế_giới nên hợp sức_trừ khử trung_quốc ngang_tàng cứ ngỡ nhận trung_quốc là một nước mạnh nhất thế_giới không bao_giờ là như_thế t q chỉ mộng_tưởng mà thôi thế_giới không bao_giờ thừa t_quốc
0.0,hai con khỉ đánh nhau,hai con khỉ đánh nhau
0.0,gòi sao hai đứa đó dô cùng nhà vệ sinh,gòi sao hai đứa đó dô cùng nhà_vệ_sinh
0.0,tuyệt vời chú hải,tuyệt_vời chú hải
0.0,bài vở cả real sói già lắm bất kỳ biến động nào lúc này đều là chiêu trò vì real biết họ đang cửa dưới trận này rồi,bài vở cả real sói già lắm bất_kỳ biến_động nào lúc này đều là chiêu_trò vì real biết họ đang cửa dưới trận này rồi
0.0,chắc có nguyên nhân chính đáng mà nói người ta hen nhác chưa chi đã súc phạm người yên,chắc có nguyên_nhân chính_đáng mà nói người ta hen_nhác chưa chi đã súc_phạm người yên
0.0,điều duy nhất tôi thất bại là những người thân yêu bên cạnh tôi đã phải tạo ra hai đối thủ để chiến đấu một là từ trong đầu mình hai là xung quanh mình và chiến tranh như thường lệ vẫn tàn khốc sau cuộc chiến chẳng còn lại gì khi sân khấu tan chỉ có mình tôi tôi chưa từng mất kiểm soát,điều duy_nhất tôi thất_bại là những người_thân_yêu bên cạnh tôi đã phải tạo ra hai đối_thủ để chiến_đấu một là từ trong đầu mình hai là xung_quanh mình và chiến_tranh như thường_lệ vẫn tàn_khốc sau cuộc_chiến chẳng còn lại gì khi sân_khấu tan chỉ có mình tôi tôi chưa từng mất kiểm_soát
0.0,nguyên liệu china thôi chứ nguyên liệu ở đâu ra,nguyên_liệu china thôi chứ nguyên_liệu ở đâu ra
0.0,tuyền ngáo đá,tuyền ngáo đá
0.0,chú ơi con còn phải thi đại học nữa chắc không dùng cách này được đâu,chú ơi con còn phải thi đại_học nữa chắc không dùng cách này được đâu
0.0,luyếntrụ,luyếntrụ
0.0,tôi lại phân vân giữa công việc hiện tại và công việc chuyên ngành ba mẹ giới thiệu lúc trước thì công việc hiện tại tôi đang làm cũng do gia đình giới thiệu do thời điểm sau covid tôi chưa có việc nên được hướng về nhà làm phụ trái ngành so với tôi qua năm đến thời điểm hiện tại thì tui đã làm ổn với nó chỉ có cái lương thấp nên gia đình lại mong muốn tui tìm tiếp công việc khác phù hợp với chuyên ngành của mình học tuy vậy nhưng tui khá sợ nếu bỏ công việc cũ bởi không biết thứ gì đang đợi chờ nếu may mắn thì tôi tìm cơ hội mới nhưng nếu nó không tốt như những gì họ nói thì sao tôi lại quay về vòng lẩn quẩn sao ở nhà hoài vậy ra ngoài kia kiếm công việc mà làm đi bằng tuổi m con người này con người kia chậc áp lực đến mức muốn bỏ tất cả nhưng nếu bỏ thì ai sẽ là người phải gồng trách nhiệm của mình kệ làm công việc cũ hỏi thu thập thêm thông tin công việc mới một cách kỹ lưỡng rồi hẳn tính,tôi lại phân_vân giữa công_việc hiện_tại và công_việc chuyên_ngành ba_mẹ giới_thiệu lúc trước thì công_việc hiện_tại tôi đang làm cũng do gia_đình giới_thiệu do thời_điểm sau covid tôi chưa có việc nên được hướng về nhà làm phụ trái ngành so với tôi qua năm đến thời_điểm hiện_tại thì tui đã làm ổn với nó chỉ có cái lương thấp nên gia_đình lại mong_muốn tui tìm tiếp công_việc khác phù_hợp với chuyên_ngành của mình học tuy_vậy nhưng tui khá sợ nếu bỏ công_việc cũ bởi không biết thứ gì đang đợi_chờ nếu may_mắn thì tôi tìm cơ_hội mới nhưng nếu nó không tốt như những gì họ nói thì sao tôi lại quay về vòng lẩn_quẩn sao ở nhà hoài vậy ra ngoài kia kiếm công_việc mà làm đi bằng tuổi m con_người này con_người kia chậc áp_lực đến mức muốn bỏ tất_cả nhưng nếu bỏ thì ai sẽ là người phải gồng trách_nhiệm của mình kệ làm công_việc cũ hỏi thu_thập thêm thông_tin công_việc mới một_cách kỹ_lưỡng rồi hẳn tính
0.0,có ngon cũng ăn không lổi,có ngon cũng ăn không lổi
0.0,còn anh lê nhân nữa,còn anh lê_nhân nữa
0.0,ua sao mp o hat nua het tien roi haha,ua sao mp o hat_nua het tien roi haha
0.0,nhìn là biết trăn nuôi,nhìn là biết trăn nuôi
0.0,cảm xúc là cái gì đó khó nói ra nói thì sợ phiền nhưng không nói thì không ai biết,cảm_xúc là cái gì đó khó nói ra nói thì sợ_phiền nhưng không nói thì không ai biết
0.0,theo ý ông tú mà phước nghiêm cho di máy bay sướng hơn di bộ với đvb còn gì,theo ý ông tú mà phước_nghiêm cho di_máy_bay sướng hơn di_bộ với đvb còn gì
0.0,bà không ngủ được có nhớ đến ông hải người đã chống lưng bà để bà có được sự tột đỉnh vinh quang mộ thời,bà không ngủ được có nhớ đến ông hải người đã chống lưng bà để bà có được sự tột_đỉnh vinh_quang mộ thời
0.0,đã nói là nên có chế tài xử lý thật nghiêm vào chứ cứ nói là không bị gì đâu nên muốn nói gì là nói,đã nói là nên có chế_tài xử_lý thật nghiêm vào chứ cứ nói là không bị gì đâu nên muốn nói gì là nói
0.0,xem xong h ngày,xem xong h ngày
0.0,chẳng trách họ gọi bò là mẹ,chẳng_trách họ gọi bò là mẹ
0.0,em thanh tuyền gần nhà tôi con lòng to nhưng thằng chồng nó ghen quá không thì tôi chịch lâu rồi,em thanh_tuyền gần nhà tôi con lòng to nhưng thằng chồng nó ghen quá không thì tôi chịch lâu rồi
0.0,hãy kiểm tra trước khi đưa tin đừng tự tạo tin như vậy cảnh sát ca sao không nói tiêng mỹ mà lạ nói tiếng mexico xe cảnh sát bằng tiếng mễ sao có nên tin fbnc không,hãy kiểm_tra trước khi đưa tin đừng tự_tạo tin như_vậy cảnh_sát ca sao không nói tiêng_mỹ mà lạ nói tiếng mexico xe cảnh_sát bằng tiếng mễ sao có nên tin fbnc không
0.0,con cá lóc t không làm gì mà cũng lời t vô,con cá_lóc t không làm gì mà cũng lời t vô
0.0,hôi đó tui y như bé ây thây trong nhà đuôi theo con chuôt con răn đa tui khum chơi vì bít con vât nguy hiêm tui sơ lăm mây bạn à tui vân còn nhơ,hôi đó tui y_như bé ây_thây trong nhà đuôi theo con chuôt con răn_đa tui khum_chơi vì bít con vât nguy_hiêm tui sơ_lăm mây bạn à tui vân còn nhơ
0.0,thời buổi này lúc yêu thì cứ kết hôn thôi còn có nắm tay nhau đi đến hết cuộc đời không thì còn chưa chắc ngoài kia đang càng ngày càng có nhiều người ly hôn đấy thôi bao gồm không ít nguyên nhân là do ngoại tình,thời_buổi này lúc yêu thì cứ kết_hôn thôi còn có nắm tay nhau đi đến hết cuộc_đời không thì còn chưa chắc ngoài kia đang càng_ngày_càng có nhiều người ly_hôn đấy thôi bao_gồm không ít nguyên_nhân là do ngoại_tình
0.0,chú cho bé bon của chú vay lãi ngày,chú cho bé bon của chú vay lãi ngày
0.0,bắc triều tiên còn hoàng đế mà cha truyền con nối mà,bắc triều_tiên còn hoàng_đế mà cha truyền_con nối mà
0.0,tớ đã từng thích cậu và cảm ơn cậu vì đã là thanh xuân của tớ,tớ đã từng thích cậu và cảm_ơn cậu vì đã là thanh_xuân của tớ
0.0,xem như hoạt hình trẻ em,xem như hoạt_hình trẻ_em
0.0,tham lam doc tai se chet thoi no giet chu duong ac nhan,tham_lam doc_tai se chet thoi no giet chu_duong ac nhan
0.0,quen rồi,quen rồi
0.0,lợi thì có lợi nhưng răng không còn làm ăn với trung quốc sớm muộn gì cũng rụng hết răng chỉ có thể húp cháo thôi,lợi thì có lợi nhưng răng không còn làm_ăn với trung_quốc sớm muộn gì cũng rụng hết răng chỉ có_thể húp cháo thôi
0.0,toàn là quy tắc,toàn là quy_tắc
0.0,khuyên mọi người từ nay không lên xem kênh này nữa mất hết uy tín và lòng tin rồi tự đăng kênh và tự xem thôi nha,khuyên mọi người từ nay không lên xem kênh này nữa mất hết uy_tín và lòng tin rồi tự đăng kênh và tự xem thôi nha
0.0,đại học phụ hồ đại học bôn ba đại học trăm mâm học viện nghĩa vụ quân sự,đại_học phụ hồ đại_học bôn_ba đại_học trăm mâm học_viện nghĩa_vụ_quân_sự
0.0,đại học công đoàn,đại_học công_đoàn
0.0,với vai trò là một khứa không biết dùng tik tok tôi respect kênh này,với vai_trò là một khứa không biết dùng tik tok tôi respect kênh này
0.0,chỗ tôi có một ông cũng lén phén với bà nhưng người vợ bình tĩnh không chửi bới không cần đánh ghen bà vợ chỉ tới ngồi nói với bà kia câu chồng chị lén phén thì kệ lương chị lấy hết con nào ngu thì cứ đưa cho chồng chị chơi miễn phí khỏi phải đi chơi đỉ tốn tiền rồi từ đó bà kia bỏ luôn,chỗ tôi có một ông cũng lén_phén với bà nhưng người vợ bình_tĩnh không chửi_bới không cần đánh_ghen bà vợ chỉ tới ngồi nói với bà kia câu chồng chị lén phén thì kệ lương chị lấy hết con nào ngu thì cứ đưa cho chồng chị chơi miễn_phí khỏi phải đi chơi đỉ tốn tiền rồi từ đó bà kia bỏ luôn
0.0,chắc giả vờ tí thôi bịp tí cho ars chủ quan để lật,chắc giả_vờ tí thôi_bịp tí cho ars chủ_quan để lật
0.0,làm về rick roll đi admin,làm về rick roll đi admin
0.0,bớt mong cầu và bớt tránh né có kn đối ứng và có trí tuệ phải tự tin và có sức chịu đựng hài lòng về những gì mình đang có,bớt mong_cầu và bớt tránh_né có kn đối_ứng và có trí_tuệ phải tự_tin và có sức chịu_đựng hài_lòng về những gì mình đang có
0.0,với chúng tôi đã trôi bộ phim truyền thốnggdrủì một cách,với chúng_tôi đã trôi bộ phim truyền_thốnggdrủì một_cách
0.0,trăn mà,trăn mà
